#EntrezID	Name	DisLabel	DisScore	ProcLabel	ProcScore	Combined	Conflict?	Degree
10718	NRG3	Positive	0.770612	Positive	0.801713	0.617810	NO	8
1128	CHRM1	Positive	0.797084	Positive	0.750647	0.598329	NO	8
3123	HLA-DRB1	Positive	0.696365	Positive	0.749235	0.521741	NO	92
3115	HLA-DPB1	Positive	0.694662	Positive	0.747728	0.519418	NO	71
1496	CTNNA2	Positive	0.702452	Positive	0.729560	0.512481	NO	23
3109	HLA-DMB	Positive	0.690763	Positive	0.736979	0.509078	NO	86
3108	HLA-DMA	Positive	0.694895	Positive	0.720582	0.500729	NO	171
3122	HLA-DRA	Positive	0.678847	Positive	0.729390	0.495145	NO	178
7122	CLDN5	Positive	0.677385	Positive	0.729451	0.494120	NO	36
3117	HLA-DQA1	Positive	0.684727	Positive	0.721512	0.494039	NO	133
3119	HLA-DQB1	Positive	0.676124	Positive	0.730237	0.493730	NO	182
929	CD14	Positive	0.673723	Positive	0.723928	0.487727	NO	126
22871	NLGN1	Positive	0.682037	Positive	0.691190	0.471417	NO	120
389125	MUSTN1	Positive	0.917876	Unlabeled	0.510863	0.468909	NO	2
90952	ESAM	Positive	0.667287	Positive	0.695529	0.464117	NO	48
1803	DPP4	Positive	0.665474	Positive	0.694154	0.461941	NO	33
3107	HLA-C	Positive	0.659609	Positive	0.695355	0.458663	NO	530
56924	PAK6	Positive	0.673528	Positive	0.680703	0.458472	NO	44
4627	MYH9	Positive	0.662755	Positive	0.679944	0.450636	NO	390
5792	PTPRF	Positive	0.653844	Positive	0.685817	0.448418	NO	552
5305	PIP4K2A	Positive	0.661470	Positive	0.676942	0.447777	NO	97
1292	COL6A2	Positive	0.655993	Positive	0.681767	0.447235	NO	1092
3105	HLA-A	Positive	0.658150	Positive	0.677615	0.445972	NO	494
5649	RELN	Positive	0.663556	Positive	0.669762	0.444425	NO	170
57623	ZFAT	Unlabeled	0.645666	Unlabeled	0.687356	0.443802	NO	1
1066	CES1	Unlabeled	0.645666	Unlabeled	0.687356	0.443802	NO	1
4629	MYH11	Positive	0.645666	Positive	0.687356	0.443802	NO	510
2260	FGFR1	Positive	0.649306	Positive	0.675402	0.438543	NO	1659
7422	VEGFA	Positive	0.654782	Positive	0.665814	0.435963	NO	824
85464	SSH2	Positive	0.668799	Positive	0.649311	0.434258	NO	168
1132	CHRM4	Positive	0.648949	Positive	0.666657	0.432626	NO	27
4684	NCAM1	Positive	0.647578	Positive	0.661318	0.428255	NO	1082
26047	CNTNAP2	Positive	0.651003	Positive	0.657615	0.428109	NO	726
85366	MYLK2	Unlabeled	0.507890	Positive	0.840364	0.426812	NO	4
6770	STAR	Positive	0.907240	Unlabeled	0.469871	0.426286	NO	3
7082	TJP1	Positive	0.638203	Positive	0.664032	0.423787	NO	846
23191	CYFIP1	Positive	0.649472	Positive	0.650888	0.422734	NO	646
10178	TENM1	Unlabeled	0.643396	Unlabeled	0.654596	0.421165	NO	1
3084	NRG1	Positive	0.643396	Positive	0.654596	0.421165	NO	996
50651	SLC45A1	Positive	0.865035	Unlabeled	0.486607	0.420932	NO	3
387	RHOA	Positive	0.644321	Positive	0.649237	0.418317	NO	727
1398	CRK	Positive	0.640706	Positive	0.652364	0.417973	NO	330
324	APC	Positive	0.645899	Positive	0.644052	0.415992	NO	1123
3984	LIMK1	Positive	0.631156	Positive	0.654345	0.412993	NO	540
7148	TNXB	Positive	0.628245	Positive	0.656758	0.412605	NO	1371
9378	NRXN1	Positive	0.632721	Positive	0.651656	0.412317	NO	1155
5521	PPP2R2B	Positive	0.632977	Positive	0.647558	0.409889	NO	788
1460	CSNK2B	Positive	0.653995	Positive	0.625660	0.409179	NO	926
5062	PAK2	Positive	0.640921	Positive	0.624634	0.400341	NO	1376
5155	PDGFB	Positive	0.622411	Positive	0.642910	0.400154	NO	1746
4609	MYC	Positive	0.647738	Positive	0.616935	0.399612	NO	555
3120	HLA-DQB2	Unlabeled	0.561077	Unlabeled	0.700594	0.393087	NO	3
57521	RPTOR	Positive	0.737981	Unlabeled	0.531489	0.392229	NO	8
57502	NLGN4X	Unlabeled	0.447386	Positive	0.864262	0.386659	NO	4
29119	CTNNA3	Positive	0.614328	Positive	0.627604	0.385555	NO	214
348980	HCN1	Positive	0.989888	Unlabeled	0.377282	0.373467	NO	1
100506658	OCLN	Unlabeled	0.433623	Positive	0.860495	0.373130	NO	4
129684	CNTNAP5	Positive	1.000000	Unlabeled	0.372941	0.372941	NO	1
259232	NALCN	Positive	0.829860	Unlabeled	0.444814	0.369133	NO	5
89846	FGD3	Unlabeled	0.438859	Positive	0.835258	0.366561	NO	4
9075	CLDN2	Unlabeled	0.356357	Positive	1.000000	0.356357	NO	1
85477	SCIN	Unlabeled	0.382882	Positive	0.921761	0.352926	NO	2
202333	CMYA5	Positive	0.763150	Unlabeled	0.461111	0.351897	NO	7
26682	OR4F4	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	1
152641	WWC2-AS2	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	1
56923	NMUR2	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	1
100133005	RASA4DP	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	1
93429	LOC93429	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	1
127068	OR2T34	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	1
81099	OR4F17	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	1
401331	RASA4CP	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	1
440050	KRTAP5-7	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	2
84144	SYDE2	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	1
440051	KRTAP5-11	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	1
83900	KRTAP9-3	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	1
387273	KRTAP5-10	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	1
346528	OR2A1	Unlabeled	0.590821	Unlabeled	0.595363	0.351753	NO	2
